"emp_no","first_name","last_name","hire_date"
298177,"Quingbo","Akaboshi","1986-11-15"
41798,"Margareta","Akaboshi","1986-04-09"
454309,"Uta","Akaboshi","1986-05-30"
34009,"Boaz","Akazan","1986-06-30"
21963,"Shawna","Akazan","1986-02-21"
270299,"Genta","Akazan","1986-12-07"
240218,"Yonghong","Akazan","1986-07-14"
498763,"Radhakrishnan","Akazan","1986-01-17"
417320,"Parviz","Akazan","1986-08-30"
95474,"Guiseppe","Akazan","1986-04-22"
462727,"Fumino","Akazan","1986-04-03"
211827,"Ashish","Akazan","1986-08-28"
216680,"Serenella","Akazan","1986-03-03"
427489,"Torsten","Akazan","1986-10-15"
211580,"Dietrich","Akazan","1986-01-17"
94167,"Xinyu","Akazan","1986-06-07"
478058,"Collette","Akazan","1986-05-14"
69149,"Padma","Akazan","1986-11-11"
411882,"Youjian","Akazan","1986-05-02"
98888,"Niranjan","Akazan","1986-08-07"
204838,"Kannan","Akazan","1986-11-20"
85911,"Hyuckchul","Akazan","1986-10-20"
12301,"Oksana","Akazan","1986-12-05"
423806,"Martina","Akazan","1986-04-17"
436085,"Jiann","Akazan","1986-01-27"
410563,"Magy","Akazan","1986-02-23"
48937,"Kensei","Akazan","1986-12-18"
231876,"Abdelkader","Akazan","1986-02-27"
445653,"Tayeb","Akazan","1986-10-09"
90764,"Mingzeng","Akiyama","1986-12-14"
424635,"Van","Akiyama","1986-08-22"
212280,"Khalid","Akiyama","1986-01-31"
89353,"Mostafa","Akiyama","1986-12-16"
70907,"Trygve","Akiyama","1986-12-04"
88015,"Dmitry","Akiyama","1986-03-02"
243923,"Owen","Akiyama","1986-12-20"
98832,"Margo","Akiyama","1986-02-10"
78153,"Kwan","Akiyama","1986-06-21"
57325,"Hidde","Akiyama","1986-02-15"
79509,"Vitaly","Akiyama","1986-05-24"
405663,"Utz","Akiyama","1986-09-23"
11226,"Margareta","Akiyama","1986-07-13"
292183,"Shahar","Akiyama","1986-07-19"
250990,"Vasilii","Akiyama","1986-07-16"
232032,"Alain","Alameldin","1986-07-24"
471572,"Jacopo","Alameldin","1986-07-18"
215298,"Edwin","Alameldin","1986-11-02"
262423,"Vishu","Alameldin","1986-12-25"
285995,"Danel","Alameldin","1986-07-07"
470748,"Tesuya","Alameldin","1986-09-26"
50295,"Nadjib","Alameldin","1986-11-16"
434605,"Yahiko","Alameldin","1986-09-26"
422091,"Lorien","Alameldin","1986-09-27"
88924,"Qiwen","Alameldin","1986-11-14"
454990,"Shooichi","Alameldin","1986-02-13"
73556,"Sampalli","Alameldin","1986-02-03"
406189,"Jianhao","Alameldin","1986-04-13"
475634,"Alagu","Alameldin","1986-09-05"
268847,"Kirk","Alameldin","1986-11-26"
94464,"Weicheng","Alameldin","1986-04-09"
20836,"Jingling","Alameldin","1986-12-20"
210420,"Shrikanth","Alameldin","1986-02-17"
445031,"Yongqiao","Alameldin","1986-10-29"
297218,"Teruyuki","Alameldin","1986-11-21"
251621,"Mitchel","Alameldin","1986-03-31"
298387,"Masali","Albarhamtoshy","1986-06-13"
19621,"Radhakrishnan","Albarhamtoshy","1986-05-07"
59413,"Huei","Albarhamtoshy","1986-01-18"
475235,"Richard","Albarhamtoshy","1986-10-28"
225546,"Marl","Albarhamtoshy","1986-06-10"
435281,"Badri","Albarhamtoshy","1986-11-28"
235853,"Sadegh","Albarhamtoshy","1986-07-16"
20817,"Yucai","Albarhamtoshy","1986-12-27"
246181,"Parke","Albarhamtoshy","1986-12-25"
214058,"Xiahua","Albarhamtoshy","1986-07-15"
465534,"Charlene","Albarhamtoshy","1986-12-18"
443418,"Anoosh","Albarhamtoshy","1986-10-03"
259447,"Yannis","Albarhamtoshy","1986-07-04"
63958,"Gift","Albarhamtoshy","1986-02-11"
417140,"Shmuel","Albarhamtoshy","1986-03-02"
250228,"Teiji","Albarhamtoshy","1986-06-27"
247932,"Junsik","Albarhamtoshy","1986-04-08"
95869,"Samphel","Albarhamtoshy","1986-09-05"
291982,"Subhada","Albarhamtoshy","1986-02-23"
238979,"Poornachandra","Albarhamtoshy","1986-12-16"
411988,"Roselyn","Albarhamtoshy","1986-01-18"
216954,"Ymte","Albarhamtoshy","1986-10-27"
90525,"Serge","Alblas","1986-03-06"
109960,"Miomir","Alblas","1986-12-10"
448868,"Wilmer","Alblas","1986-12-14"
230627,"Chenxi","Alblas","1986-01-29"
257508,"Jacopo","Alblas","1986-11-08"
55374,"Joydip","Alblas","1986-11-24"
267988,"Deborah","Alblas","1986-02-10"
99495,"Tayeb","Alblas","1986-06-28"
427243,"Hisao","Alblas","1986-01-14"
265872,"Reuven","Alblas","1986-02-04"
63507,"Valeri","Alblas","1986-11-13"
63980,"Beshir","Alblas","1986-03-11"
422339,"Houman","Alblas","1986-02-20"
240119,"Miyeon","Alblas","1986-02-07"
67768,"Ger","Alblas","1986-10-16"
448355,"Constantino","Alblas","1986-07-17"
487762,"Boriana","Alblas","1986-06-25"
51696,"Gina","Alblas","1986-12-30"
482570,"Elvia","Alblas","1986-12-03"
420464,"Shan","Alblas","1986-09-06"
445201,"Randi","Alblas","1986-09-19"
259541,"Jaber","Alblas","1986-11-02"
269480,"Sangeeta","Alblas","1986-10-24"
296097,"Nigel","Alblas","1986-10-09"
206053,"Tsuneo","Alblas","1986-05-12"
433926,"Xiaobin","Alblas","1986-12-31"
239368,"Mingsen","Alblas","1986-11-16"
490798,"Shir","Alblas","1986-05-10"
281436,"Ekawit","Alencar","1986-05-13"
41687,"Weidon","Alencar","1986-08-17"
450234,"Xianlong","Alencar","1986-03-14"
10519,"Yonghoan","Alencar","1986-03-22"
62900,"Gio","Alencar","1986-04-16"
257953,"Kwangyoen","Alencar","1986-07-29"
226504,"Guangming","Alencar","1986-11-28"
36272,"Valeri","Alencar","1986-10-21"
14016,"Shimshon","Alencar","1986-06-23"
242023,"Laurentiu","Alencar","1986-12-25"
97742,"Muzhong","Alencar","1986-06-12"
204802,"Shem","Aloia","1986-03-31"
252598,"Macha","Aloia","1986-08-30"
95832,"Kwan","Aloia","1986-12-04"
36874,"Genki","Aloia","1986-12-14"
407078,"Rosella","Aloia","1986-01-03"
76678,"Doohun","Aloia","1986-11-28"
250260,"Baoqiu","Aloia","1986-07-29"
71991,"Shuzo","Aloia","1986-05-20"
14260,"Arlette","Aloia","1986-11-26"
68044,"Yahiko","Aloia","1986-07-25"
485088,"Berna","Aloia","1986-03-21"
53142,"Fumiya","Aloia","1986-10-20"
416018,"Fen","Aloia","1986-08-18"
463910,"Kristine","Aloia","1986-07-22"
482013,"Kwangsub","Aloia","1986-04-03"
455328,"Edwin","Aloia","1986-07-05"
27203,"Conal","Aloia","1986-02-02"
37203,"Paloma","Aloia","1986-01-30"
479817,"Kiyokazu","Aloia","1986-05-25"
72395,"Greger","Aloia","1986-01-30"
30209,"Yannis","Aloisi","1986-11-07"
486393,"Kristinn","Aloisi","1986-05-29"
60576,"Atreyi","Aloisi","1986-07-23"
60555,"Kayoko","Aloisi","1986-02-08"
99946,"Mostafa","Aloisi","1986-02-13"
490288,"Nidapan","Aloisi","1986-10-08"
108628,"Filipp","Aloisi","1986-10-14"
41003,"Younwoo","Aloisi","1986-11-12"
420730,"Poorav","Aloisi","1986-06-14"
427203,"Xuedong","Aloisi","1986-08-31"
65790,"Hatsukazu","Aloisi","1986-02-20"
498153,"Jouni","Aloisi","1986-01-12"
228246,"Bartek","Aloisi","1986-07-20"
490302,"Rajmohan","Aloisi","1986-01-23"
14417,"Shrikanth","Aloisi","1986-05-14"
460163,"Goetz","Aloisi","1986-11-08"
277977,"Jessie","Aloisi","1986-07-16"
260628,"Jahangir","Aloisi","1986-10-19"
285961,"Tristan","Aloisi","1986-02-15"
417152,"Chaitali","Aloisi","1986-08-08"
298484,"Reuven","Aloisi","1986-07-26"
260088,"Frazer","Aloisi","1986-03-14"
95415,"Tru","Alpay","1986-11-20"
498473,"Arie","Alpay","1986-11-23"
443321,"Gianluca","Alpay","1986-08-01"
51250,"Leah","Alpay","1986-01-03"
258844,"Mokhtar","Alpay","1986-03-28"
69599,"Chenye","Alpay","1986-06-06"
55550,"Boaz","Alpay","1986-09-27"
488175,"Brendon","Alpay","1986-04-05"
277834,"Izaskun","Alpay","1986-01-08"
233437,"Kristian","Alpay","1986-06-02"
406365,"Dulce","Alpay","1986-11-07"
480994,"Berry","Alpay","1986-12-29"
200812,"Arnould","Alpay","1986-07-06"
55569,"Martien","Alpay","1986-11-08"
414666,"Fai","Alpay","1986-07-16"
222506,"Xudong","Alpay","1986-09-28"
224723,"Guadalupe","Alpay","1986-07-19"
63662,"Sreekrishna","Alpay","1986-11-03"
448385,"Kazuhisa","Alpay","1986-05-04"
290827,"Yuuichi","Alpay","1986-12-06"
102410,"Boalin","Alpay","1986-10-17"
495705,"Tiina","Alpay","1986-07-25"
242494,"Nevio","Alpin","1986-07-24"
236038,"Aiichiro","Alpin","1986-03-03"
109232,"Khosrow","Alpin","1986-10-28"
485596,"Heejo","Alpin","1986-06-13"
463192,"IEEE","Alpin","1986-09-10"
39377,"Mingzeng","Alpin","1986-09-01"
76584,"Shigehito","Alpin","1986-05-04"
257878,"Khatoun","Alpin","1986-11-06"
215008,"Mechthild","Alpin","1986-01-26"
488519,"Qiwen","Alpin","1986-01-16"
229732,"Mohan","Alpin","1986-08-05"
463240,"Temple","Alpin","1986-08-31"
17293,"Demin","Alpin","1986-03-01"
47578,"Krister","Alpin","1986-11-03"
88089,"Kwok","Alpin","1986-11-15"
485192,"Ronghao","Alpin","1986-06-03"
93890,"Almudena","Alpin","1986-11-20"
96821,"Vasiliy","Alpin","1986-07-05"
407887,"Shahar","Alpin","1986-02-20"
52335,"Sanjay","Alpin","1986-05-25"
45514,"Jessie","Alpin","1986-01-03"
249424,"Sahrah","Alvarado","1986-09-03"
404638,"Youngkon","Alvarado","1986-06-02"
96129,"Aloys","Alvarado","1986-06-23"
421192,"Mihalis","Alvarado","1986-06-08"
77546,"Falguni","Alvarado","1986-12-13"
73239,"Jiafu","Alvarado","1986-03-30"
284030,"Geraldo","Alvarado","1986-07-07"
224221,"Arie","Alvarado","1986-03-09"
222128,"Isaac","Alvarado","1986-12-02"
31238,"Uwe","Alvarado","1986-07-17"
414544,"Bowen","Alvarado","1986-10-30"
415387,"Geoffry","Alvarado","1986-05-10"
493501,"Xuejun","Alvarado","1986-10-17"
50449,"Jagoda","Alvarado","1986-12-01"
203165,"Guozhong","Alvarado","1986-11-16"
73064,"Pascal","Alvarado","1986-02-28"
38308,"Adit","Alvarado","1986-11-12"
483794,"Hausi","Alvarado","1986-12-18"
29331,"Sangeeta","Alvarado","1986-01-21"
466343,"Mahmut","Alvarado","1986-12-26"
54608,"Mara","Alvarado","1986-02-21"
480647,"Kwangsub","Alvarado","1986-12-15"
476010,"Tristan","Alvarado","1986-05-13"
95633,"Zhenbing","Alvarado","1986-02-19"
471605,"Yuqun","Alvarado","1986-11-12"
441355,"Mansur","Alvarado","1986-03-20"
88825,"Fun","Alvarado","1986-08-05"
278315,"Arun","Alvarado","1986-08-16"
78155,"Hironoby","Alvarado","1986-10-03"
48258,"Leif","Ambroszkiewicz","1986-04-04"
294888,"Aluzio","Ambroszkiewicz","1986-04-24"
104163,"Yishay","Ambroszkiewicz","1986-10-13"
15687,"Dekang","Ambroszkiewicz","1986-12-09"
17377,"Kien","Ambroszkiewicz","1986-04-10"
61614,"Tesuya","Ambroszkiewicz","1986-08-05"
224837,"Yahiko","Ambroszkiewicz","1986-12-15"
42656,"Goo","Ambroszkiewicz","1986-05-18"
21166,"Isamu","Ambroszkiewicz","1986-11-05"
417571,"Geoffry","Ambroszkiewicz","1986-06-09"
65521,"Marsha","Ambroszkiewicz","1986-06-20"
204328,"Mingzeng","Ambroszkiewicz","1986-12-25"
98190,"Masako","Ambroszkiewicz","1986-07-07"
477251,"Jayson","Ambroszkiewicz","1986-02-08"
410292,"Sadun","Ambroszkiewicz","1986-02-20"
490718,"Khun","Ambroszkiewicz","1986-12-18"
284056,"Tze","Ambroszkiewicz","1986-05-27"
41042,"Jiafu","Ambroszkiewicz","1986-11-05"
215658,"Falguni","Ambroszkiewicz","1986-11-29"
250816,"Kazuhide","Ambroszkiewicz","1986-05-07"
84885,"Gaetan","Ambroszkiewicz","1986-02-07"
106710,"Babette","Anandan","1986-11-22"
93480,"Chikako","Anandan","1986-05-15"
492139,"Berto","Anandan","1986-05-21"
208248,"Larisa","Anandan","1986-05-20"
222166,"Bluma","Anandan","1986-11-24"
473915,"Ghassan","Anandan","1986-10-06"
89774,"Adhemar","Anandan","1986-08-20"
275680,"Anneli","Anandan","1986-01-28"
289461,"Sergi","Anandan","1986-09-17"
20722,"Leandro","Anandan","1986-01-27"
458676,"Sanjiv","Anandan","1986-11-14"
242920,"Tuval","Anandan","1986-01-08"
75257,"Kokou","Anandan","1986-10-25"
401755,"Roded","Anandan","1986-09-09"
239565,"Gio","Anandan","1986-01-19"
296182,"Snehasis","Anandan","1986-11-02"
23466,"Chikara","Anandan","1986-02-22"
412012,"Mara","Anandan","1986-10-27"
43541,"Zejun","Anandan","1986-03-19"
431567,"Krassimir","Anandan","1986-06-28"
70090,"Oldrich","Anandan","1986-02-04"
100569,"Sreekrishna","Anandan","1986-10-25"
232126,"Mohd","Anandan","1986-01-16"
82514,"Gita","Anandan","1986-02-01"
271915,"Zhenbing","Anandan","1986-10-09"
85397,"Gaurav","Anandan","1986-12-25"
72391,"Khue","Anandan","1986-10-29"
55515,"Doohun","Anandan","1986-09-26"
475687,"Aimee","Anandan","1986-09-03"
280034,"Guadalupe","Anandan","1986-10-18"
290948,"Zorica","Anandan","1986-07-22"
13483,"Arco","Ananiadou","1986-02-16"
23707,"Yoshimitsu","Ananiadou","1986-04-26"
439086,"Yongdong","Ananiadou","1986-03-21"
298365,"Mabhin","Ananiadou","1986-05-06"
61944,"Bedir","Ananiadou","1986-08-27"
63848,"Yifei","Ananiadou","1986-03-27"
32331,"Chikara","Ananiadou","1986-04-10"
284156,"Nechama","Ananiadou","1986-04-14"
68533,"Ohad","Ananiadou","1986-10-10"
45565,"Babette","Ananiadou","1986-03-03"
462583,"Dinkar","Ananiadou","1986-09-20"
468362,"Sampalli","Ananiadou","1986-09-13"
255168,"Ziva","Ananiadou","1986-10-09"
273663,"Bartek","Ananiadou","1986-07-24"
267641,"Fei","Ananiadou","1986-12-27"
64699,"Jaana","Ananiadou","1986-09-17"
292831,"Subhankar","Ananiadou","1986-09-24"
108375,"Greger","Ananiadou","1986-06-30"
258729,"Masamitsu","Ananiadou","1986-11-24"
477368,"Gino","Andreotta","1986-11-28"
238973,"Sedat","Andreotta","1986-01-17"
81359,"Uta","Andreotta","1986-01-14"
471667,"Fumino","Andreotta","1986-10-08"
428383,"Vasilis","Andreotta","1986-06-26"
478992,"Jahangir","Andreotta","1986-09-02"
282252,"Yurij","Andreotta","1986-03-19"
469821,"Aluzio","Andreotta","1986-04-24"
418561,"Younwoo","Andreotta","1986-05-03"
286073,"Jaroslava","Andreotta","1986-04-13"
422160,"Peer","Andreotta","1986-04-02"
87038,"Lucian","Andreotta","1986-12-15"
428405,"Alain","Andreotta","1986-06-16"
482427,"Hatsukazu","Andreotta","1986-11-10"
417960,"Falguni","Andreotta","1986-08-08"
234612,"Alain","Andreotta","1986-04-24"
83323,"Vesna","Andreotta","1986-09-14"
280438,"Jaana","Andreotta","1986-06-26"
58244,"Mohd","Androutsos","1986-12-17"
268543,"Yunming","Androutsos","1986-01-22"
44138,"Bouchung","Androutsos","1986-03-24"
480205,"Subhash","Androutsos","1986-07-05"
426012,"Arunachalam","Androutsos","1986-02-12"
273611,"Djelloul","Androutsos","1986-01-15"
436699,"Bojan","Androutsos","1986-12-28"
427216,"Hugh","Androutsos","1986-09-21"
255524,"Munenori","Androutsos","1986-12-13"
434347,"Mahmut","Androutsos","1986-04-05"
237404,"Hidefumi","Androutsos","1986-07-31"
481065,"Satyanarayana","Androutsos","1986-07-19"
86766,"Mong","Androutsos","1986-05-17"
481259,"Toshimitsu","Androutsos","1986-02-04"
477393,"Sreekrishna","Androutsos","1986-11-10"
462557,"Lobel","Androutsos","1986-08-17"
297237,"Lansing","Angel","1986-01-31"
461457,"Tiina","Angel","1986-02-10"
210984,"Toshiki","Angel","1986-09-13"
228977,"Syozo","Angel","1986-05-04"
107438,"Sukumar","Angel","1986-03-23"
445884,"Martijn","Angel","1986-01-29"
425251,"Nishit","Angel","1986-08-08"
271980,"Shigenori","Angel","1986-05-31"
238255,"Hinrich","Angel","1986-11-05"
464863,"Hugh","Angel","1986-04-25"
451651,"Margareta","Angel","1986-12-31"
26570,"Radoslaw","Angelopoulos","1986-11-17"
17986,"Oguz","Angelopoulos","1986-11-29"
402792,"Marke","Angelopoulos","1986-11-18"
280315,"Ravishankar","Angelopoulos","1986-10-18"
231083,"Gritta","Angelopoulos","1986-09-06"
287702,"Munehiro","Angelopoulos","1986-04-07"
430477,"Subhrajyoti","Angelopoulos","1986-08-23"
68191,"Prasadram","Angelopoulos","1986-10-19"
57589,"Denis","Angelopoulos","1986-11-02"
419168,"Bikash","Angelopoulos","1986-05-30"
81428,"Nimmagadda","Angelopoulos","1986-10-09"
61079,"Wuxu","Angelopoulos","1986-09-03"
23880,"Hairong","Angelopoulos","1986-11-01"
260351,"Nadjib","Angelopoulos","1986-08-15"
464534,"Idoia","Angelopoulos","1986-09-24"
230986,"Mantis","Angelopoulos","1986-04-14"
251068,"Aral","Angelopoulos","1986-08-04"
296931,"Baruch","Angelopoulos","1986-10-10"
17690,"Panayotis","Angelopoulos","1986-03-24"
496326,"Xuejun","Angelopoulos","1986-04-10"
290766,"Fumiko","Angelopoulos","1986-03-05"
38551,"Sangeeta","Angelopoulos","1986-08-15"
282969,"Tiina","Angelopoulos","1986-01-16"
273385,"Arumugam","Angelopoulos","1986-12-20"
75305,"Manu","Angelopoulos","1986-11-05"
466943,"Mayuri","Angelov","1986-05-02"
29090,"Paddy","Angelov","1986-09-10"
298578,"Jianhui","Angelov","1986-04-14"
100148,"Tokuyasu","Angelov","1986-11-16"
470524,"Jinya","Angelov","1986-04-23"
99613,"Ziyad","Angelov","1986-08-06"
202985,"Chandrasekaran","Angelov","1986-05-14"
27197,"Fei","Angelov","1986-06-28"
285009,"Yakkov","Angelov","1986-06-30"
65105,"Vatsa","Angelov","1986-07-14"
267593,"Kiyomitsu","Angelov","1986-04-24"
493867,"Teruyuki","Angelov","1986-11-08"
434206,"Elrique","Angelov","1986-01-30"
21214,"Weiru","Angelov","1986-06-12"
61787,"Tsutomu","Angelov","1986-10-03"
258816,"Sreenivas","Angelov","1986-07-31"
233650,"Sugwoo","Angelov","1986-03-13"
77782,"Yoshimitsu","Angelov","1986-04-09"
19538,"Rasikan","Angelov","1986-08-08"
208406,"Jasminko","Angelov","1986-09-08"
27516,"Yurij","Angelov","1986-12-09"
408613,"Mart","Angelov","1986-06-25"
499818,"Kokou","Angelov","1986-09-09"
268347,"Jiang","Angelov","1986-12-12"
222563,"Radhakrishnan","Angelov","1986-01-27"
27496,"Marke","Angelov","1986-08-15"
464304,"Guadalupe","Angelov","1986-07-11"
498485,"Xiaoqiang","Anger","1986-11-12"
461700,"Dekang","Anger","1986-02-09"
470559,"Mart","Anger","1986-11-11"
36310,"Manibrata","Anger","1986-04-21"
229091,"Kamran","Anger","1986-11-15"
273479,"Gita","Anger","1986-09-21"
68030,"Woody","Anger","1986-07-05"
449587,"Temple","Anger","1986-12-06"
425220,"Xiadong","Anger","1986-09-07"
436652,"Marek","Anger","1986-08-28"
246215,"Seshu","Anger","1986-07-01"
267279,"Saeko","Anger","1986-11-18"
55400,"Eckart","Anger","1986-05-13"
459158,"Naftali","Anger","1986-04-16"
58788,"Shmuel","Anger","1986-01-27"
42006,"Gonzalo","Anger","1986-02-12"
61561,"Ewing","Anger","1986-05-25"
411335,"Wilmer","Anger","1986-01-14"
267128,"Kaijung","Angiulli","1986-12-23"
430154,"Jackson","Angiulli","1986-01-08"
99584,"Nechama","Angiulli","1986-07-20"
254354,"Martins","Angiulli","1986-07-05"
94031,"Gennady","Angiulli","1986-10-14"
233247,"Murthy","Angiulli","1986-08-02"
454081,"Paddy","Angiulli","1986-09-02"
84944,"Arto","Angiulli","1986-05-05"
35453,"Jinpo","Angiulli","1986-09-05"
26273,"Mary","Angiulli","1986-01-23"
34637,"Zhenhua","Angiulli","1986-03-31"
453944,"Uma","Angiulli","1986-02-20"
81947,"Jacqueline","Angiulli","1986-05-14"
289172,"Valeska","Angiulli","1986-06-01"
63295,"Giao","Angiulli","1986-09-16"
215436,"Yurii","Angiulli","1986-11-21"
59984,"Kwangjo","Angiulli","1986-09-20"
432485,"Arne","Angiulli","1986-02-20"
462028,"Rasiah","Angot","1986-02-08"
207749,"Tze","Angot","1986-07-03"
442559,"Jaana","Angot","1986-04-26"
491213,"Shaowei","Angot","1986-11-19"
80665,"Angel","Angot","1986-06-06"
463219,"Djenana","Angot","1986-04-29"
102006,"Ymte","Angot","1986-06-18"
235688,"Shigehiro","Angot","1986-07-31"
213840,"Genki","Angot","1986-09-08"
440369,"Parto","Angot","1986-07-25"
64177,"Kerhong","Angot","1986-03-27"
256904,"Tru","Angot","1986-10-18"
461550,"Kagan","Angot","1986-03-15"
287245,"Junsik","Angot","1986-04-24"
44929,"Abdulla","Angot","1986-05-05"
461714,"Yoshimitsu","Angot","1986-11-18"
491947,"Percy","Angot","1986-08-21"
289801,"Gila","Angot","1986-01-23"
57051,"Xinyu","Angot","1986-06-25"
228755,"Kazuhira","Angot","1986-01-10"
255537,"Shahar","Angot","1986-06-23"
84860,"Paris","Angot","1986-09-28"
496282,"Kotesh","Anguita","1986-12-30"
449470,"Nikolaus","Anguita","1986-04-30"
246930,"Kitty","Anguita","1986-06-14"
493615,"Marlo","Anguita","1986-09-03"
235227,"Dung","Anguita","1986-05-19"
478079,"Raimond","Anguita","1986-06-20"
105401,"Babette","Anguita","1986-03-18"
11669,"Leah","Anguita","1986-04-07"
421187,"Greger","Anguita","1986-12-24"
489146,"Deborah","Anguita","1986-12-31"
50455,"Munir","Anguita","1986-10-19"
226820,"Moto","Anguita","1986-10-11"
466319,"Lucien","Anguita","1986-11-29"
289436,"Hidekazu","Anguita","1986-02-25"
428274,"Jingling","Anguita","1986-05-17"
13274,"Valery","Anguita","1986-10-01"
283513,"Elzbieta","Anguita","1986-03-30"
416394,"Sreenivas","Anguita","1986-04-07"
463236,"Christophe","Anguita","1986-09-15"
