"emp_no","last_name","first_name","dept_no"
231877,"Aloia","Weijing","d007"
233767,"Aloia","Maya","d007"
19314,"Aloia","JoAnna","d007"
252487,"Aloia","Gennady","d007"
201626,"Aloia","Guiseppe","d007"
76407,"Aloia","Elliott","d007"
479817,"Aloia","Kiyokazu","d007"
456007,"Aloia","Souichi","d007"
461774,"Aloia","Vitaly","d007"
60644,"Aloia","Nikolaos","d007"
44154,"Aloia","Yefim","d007"
31963,"Aloia","Heeju","d007"
416018,"Aloia","Fen","d007"
33975,"Aloia","Barry","d007"
99732,"Aloia","Mong","d007"
210038,"Aloia","Emdad","d007"
413573,"Aloia","Giordano","d007"
221882,"Aloia","Sahrah","d007"
55874,"Aloia","Younwoo","d007"
76678,"Aloia","Doohun","d007"
271867,"Aloia","Chenye","d007"
439040,"Aloia","Nakhoon","d007"
210476,"Aloia","Kwangho","d007"
459843,"Aloia","Weidon","d007"
298130,"Aloia","Vugranam","d007"
472515,"Aloia","Danai","d007"
36874,"Aloia","Genki","d007"
209371,"Aloia","Karsten","d007"
222836,"Aloia","Ishfaq","d007"
240999,"Aloia","Raimond","d007"
420876,"Aloia","Aloys","d007"
70420,"Aloia","Xuejun","d007"
90193,"Aloisi","Xuedong","d007"
279185,"Aloisi","Xiaoqiu","d007"
30508,"Aloisi","Herbert","d007"
233532,"Aloisi","Kamakshi","d007"
73863,"Aloisi","Somnath","d007"
490252,"Aloisi","Kristof","d007"
287486,"Aloisi","Xiaopeng","d007"
265132,"Aloisi","Baziley","d007"
496650,"Aloisi","Arumugam","d007"
417152,"Aloisi","Chaitali","d007"
72503,"Aloisi","Piyawadee","d007"
228246,"Aloisi","Bartek","d007"
90151,"Aloisi","Richara","d007"
403562,"Aloisi","Mikhail","d007"
287859,"Aloisi","Yuriy","d007"
201279,"Aloisi","Tsz","d007"
30209,"Aloisi","Yannis","d007"
477190,"Aloisi","Fan","d007"
15709,"Aloisi","Lena","d007"
427203,"Aloisi","Xuedong","d007"
261839,"Aloisi","Magy","d007"
260088,"Aloisi","Frazer","d007"
421336,"Aloisi","Gretta","d007"
42074,"Aloisi","Georgy","d007"
21135,"Alpay","KayLiang","d007"
407889,"Alpay","Mariusz","d007"
53555,"Alpay","Elgin","d007"
419230,"Alpay","Siamak","d007"
66888,"Alpay","Elvia","d007"
219523,"Alpay","Jaques","d007"
52240,"Alpay","Ibibia","d007"
61070,"Alpay","Girolamo","d007"
414666,"Alpay","Fai","d007"
465434,"Alpay","Dayanand","d007"
202349,"Alpay","Takahiro","d007"
40224,"Alpay","Genevieve","d007"
102410,"Alpay","Boalin","d007"
440864,"Alpay","Tonia","d007"
200777,"Alpay","Ziyad","d007"
496446,"Alpay","Jinpo","d007"
98890,"Alpay","Erez","d007"
80565,"Alpay","Ekawit","d007"
222029,"Alpay","Sreenivas","d007"
298624,"Alpay","Rafols","d007"
56618,"Alpay","Vidar","d007"
407643,"Alpay","Arunachalam","d007"
283622,"Alpay","Ohad","d007"
295094,"Alpay","Hitomi","d007"
492769,"Alpay","Susanne","d007"
405888,"Alpay","Leucio","d007"
101271,"Alpay","Shawna","d007"
102870,"Alpay","Marsal","d007"
85365,"Alpay","Hideyuki","d007"
437161,"Alpay","Niclas","d007"
92933,"Alpay","Kamakshi","d007"
211081,"Alpay","Luisa","d007"
494487,"Alpay","Luerbio","d007"
441362,"Alpay","Lihong","d007"
484866,"Alpay","Hatem","d007"
27795,"Alpay","Anneli","d007"
88107,"Alpin","Valery","d007"
442053,"Alpin","Weiwu","d007"
202547,"Alpin","Patricio","d007"
224048,"Alpin","Syozo","d007"
45514,"Alpin","Jessie","d007"
39377,"Alpin","Mingzeng","d007"
227840,"Alpin","Berry","d007"
215818,"Alpin","Krisda","d007"
14813,"Alpin","Naftali","d007"
465547,"Alpin","Bernice","d007"
488519,"Alpin","Qiwen","d007"
450913,"Alpin","Carrsten","d007"
464942,"Alpin","Shiv","d007"
70525,"Alpin","Ohad","d007"
251260,"Alpin","Xuejun","d007"
298052,"Alpin","Aleksander","d007"
207062,"Alpin","Vasilis","d007"
241956,"Alpin","Arch","d007"
105902,"Alpin","Constantine","d007"
79943,"Alpin","Kwee","d007"
67665,"Alpin","Sergi","d007"
34271,"Alpin","Insup","d007"
464670,"Alpin","Ortrun","d007"
50948,"Alpin","Jouko","d007"
238792,"Alpin","Kaijung","d007"
263970,"Alpin","Chenye","d007"
76713,"Alpin","Mitsuyuki","d007"
287792,"Alpin","Tremaine","d007"
209765,"Alpin","Yoshimitsu","d007"
418000,"Alpin","Yuichiro","d007"
13292,"Alpin","Bokyung","d007"
442362,"Alpin","Hailing","d007"
41129,"Alpin","Teiji","d007"
214801,"Alpin","Supot","d007"
474815,"Alpin","Jaroslava","d007"
276128,"Alvarado","Mohan","d007"
493454,"Alvarado","Muzhong","d007"
211850,"Alvarado","Isamu","d007"
17801,"Alvarado","Taegyun","d007"
201925,"Alvarado","Persi","d007"
295091,"Alvarado","Kiyokazu","d007"
243078,"Alvarado","Randy","d007"
62842,"Alvarado","Ulises","d007"
490447,"Alvarado","Demin","d007"
80191,"Alvarado","Bouchung","d007"
10592,"Alvarado","Almudena","d007"
74587,"Alvarado","Matk","d007"
34586,"Alvarado","Qunsheng","d007"
289545,"Alvarado","Quingbo","d007"
106898,"Alvarado","Evgueni","d007"
455466,"Alvarado","Jianhua","d007"
47132,"Alvarado","Freyja","d007"
222128,"Alvarado","Isaac","d007"
272246,"Alvarado","Boutros","d007"
76142,"Ambroszkiewicz","Nikolaos","d007"
409307,"Ambroszkiewicz","Shai","d007"
48258,"Ambroszkiewicz","Leif","d007"
98128,"Ambroszkiewicz","Kazuhisa","d007"
477251,"Ambroszkiewicz","Jayson","d007"
287624,"Ambroszkiewicz","Francesca","d007"
85373,"Ambroszkiewicz","Gennady","d007"
256401,"Ambroszkiewicz","Moriyoshi","d007"
480988,"Ambroszkiewicz","Jeanna","d007"
75964,"Ambroszkiewicz","Greger","d007"
84885,"Ambroszkiewicz","Gaetan","d007"
499671,"Ambroszkiewicz","Jayesh","d007"
41042,"Ambroszkiewicz","Jiafu","d007"
234978,"Ambroszkiewicz","Akhilish","d007"
244027,"Ambroszkiewicz","Macha","d007"
433469,"Ambroszkiewicz","Barna","d007"
416924,"Ambroszkiewicz","Vishwani","d007"
30591,"Ambroszkiewicz","Zijian","d007"
293346,"Ambroszkiewicz","Hausi","d007"
443145,"Ambroszkiewicz","Weiwu","d007"
73632,"Ambroszkiewicz","Juichirou","d007"
260048,"Ambroszkiewicz","Magdalena","d007"
417571,"Ambroszkiewicz","Geoffry","d007"
276290,"Ambroszkiewicz","Mayuko","d007"
71336,"Ambroszkiewicz","Parviz","d007"
98173,"Ambroszkiewicz","Irena","d007"
286917,"Ambroszkiewicz","Shigehito","d007"
61068,"Ambroszkiewicz","Dinkar","d007"
215658,"Ambroszkiewicz","Falguni","d007"
98190,"Ambroszkiewicz","Masako","d007"
429513,"Ambroszkiewicz","Wanqing","d007"
17377,"Ambroszkiewicz","Kien","d007"
277681,"Ambroszkiewicz","Taizo","d007"
481984,"Ambroszkiewicz","Jayesh","d007"
80801,"Ambroszkiewicz","Bluma","d007"
476529,"Ambroszkiewicz","Kiyotoshi","d007"
235094,"Ambroszkiewicz","Bikash","d007"
19778,"Ambroszkiewicz","Ferdinand","d007"
480166,"Ambroszkiewicz","Kazuyasu","d007"
418675,"Ambroszkiewicz","Adin","d007"
203207,"Anandan","Stepehn","d007"
57288,"Anandan","Elvis","d007"
215460,"Anandan","Eberhardt","d007"
464456,"Anandan","Hyuncheol","d007"
60046,"Anandan","Mary","d007"
241952,"Anandan","Maya","d007"
107130,"Anandan","Nechama","d007"
74583,"Anandan","Malu","d007"
486582,"Anandan","Naftali","d007"
291124,"Anandan","Yucai","d007"
412012,"Anandan","Mara","d007"
479867,"Anandan","Akemi","d007"
489735,"Anandan","Krister","d007"
43480,"Anandan","Arco","d007"
89774,"Anandan","Adhemar","d007"
30655,"Anandan","Xuedong","d007"
277946,"Anandan","Gonzalo","d007"
108250,"Anandan","Augustine","d007"
57554,"Anandan","Moie","d007"
291385,"Anandan","Khun","d007"
492739,"Anandan","Khalid","d007"
451503,"Anandan","Rance","d007"
82950,"Anandan","Guenter","d007"
201047,"Anandan","Karoline","d007"
424476,"Anandan","Spyrose","d007"
463329,"Anandan","Leon","d007"
41177,"Anandan","Jolita","d007"
16715,"Anandan","Satosi","d007"
446487,"Anandan","Uriel","d007"
477396,"Ananiadou","Willard","d007"
477750,"Ananiadou","Seongbin","d007"
14454,"Ananiadou","Gita","d007"
243780,"Ananiadou","Arto","d007"
469651,"Ananiadou","Gaetan","d007"
217561,"Ananiadou","Kiyotoshi","d007"
423634,"Ananiadou","Spyrose","d007"
466817,"Ananiadou","Gadiel","d007"
108375,"Ananiadou","Greger","d007"
279858,"Ananiadou","Szabolcs","d007"
227711,"Ananiadou","Along","d007"
455485,"Ananiadou","Theron","d007"
255168,"Ananiadou","Ziva","d007"
479369,"Ananiadou","Shigenori","d007"
105552,"Ananiadou","Kellie","d007"
241885,"Ananiadou","Bezalel","d007"
56602,"Ananiadou","Mack","d007"
407360,"Ananiadou","Masamitsu","d007"
446367,"Ananiadou","Achilleas","d007"
439086,"Ananiadou","Yongdong","d007"
450937,"Ananiadou","Mahendra","d007"
241325,"Ananiadou","Giordano","d007"
490241,"Ananiadou","Deniz","d007"
431078,"Ananiadou","Adib","d007"
493829,"Ananiadou","Girolamo","d007"
415157,"Ananiadou","Insup","d007"
69429,"Ananiadou","Tooru","d007"
422292,"Ananiadou","Theron","d007"
64699,"Ananiadou","Jaana","d007"
91681,"Ananiadou","Gennadi","d007"
491899,"Ananiadou","Mary","d007"
482714,"Ananiadou","Fumino","d007"
455454,"Andreotta","Shuho","d007"
272400,"Andreotta","Nishit","d007"
224367,"Andreotta","Remzi","d007"
458040,"Andreotta","JiYoung","d007"
441683,"Andreotta","Sanjai","d007"
30991,"Andreotta","Jaber","d007"
420737,"Andreotta","Becky","d007"
52469,"Andreotta","Claude","d007"
53464,"Andreotta","Odoardo","d007"
471235,"Andreotta","Maha","d007"
91277,"Andreotta","Hauke","d007"
108580,"Andreotta","Tiina","d007"
437092,"Andreotta","Gal","d007"
78163,"Andreotta","Ult","d007"
269723,"Andreotta","Sachem","d007"
80779,"Andreotta","Aamod","d007"
471343,"Andreotta","Mabo","d007"
79233,"Andreotta","Prasadram","d007"
69453,"Andreotta","Temple","d007"
469821,"Andreotta","Aluzio","d007"
451895,"Andreotta","Feiyu","d007"
420523,"Andreotta","Danco","d007"
443539,"Andreotta","Vishu","d007"
428219,"Androutsos","Ghassan","d007"
227256,"Androutsos","Jasminko","d007"
443557,"Androutsos","Ute","d007"
277694,"Androutsos","Ute","d007"
417830,"Androutsos","Geoff","d007"
200625,"Androutsos","Masako","d007"
434826,"Androutsos","Zito","d007"
403959,"Androutsos","Aleksander","d007"
81825,"Androutsos","Xiaoheng","d007"
17632,"Androutsos","Diederik","d007"
494386,"Androutsos","Wojceich","d007"
490539,"Androutsos","Ortrud","d007"
222132,"Androutsos","Ulises","d007"
33814,"Androutsos","Hairong","d007"
450656,"Androutsos","Heping","d007"
453020,"Androutsos","Marsja","d007"
480150,"Androutsos","Munir","d007"
427216,"Androutsos","Hugh","d007"
469300,"Androutsos","Fumitaka","d007"
464242,"Androutsos","Gen","d007"
434817,"Androutsos","JoAnna","d007"
422470,"Androutsos","Arvin","d007"
85332,"Androutsos","Odoardo","d007"
25869,"Androutsos","Weiyi","d007"
426012,"Androutsos","Arunachalam","d007"
261511,"Androutsos","Shiv","d007"
236778,"Androutsos","Djelloul","d007"
50096,"Androutsos","Hyuckchul","d007"
412427,"Androutsos","Kristen","d007"
480205,"Androutsos","Subhash","d007"
86766,"Androutsos","Mong","d007"
290236,"Androutsos","Bodo","d007"
461967,"Androutsos","Udo","d007"
37087,"Angel","Claudi","d007"
63191,"Angel","Vincent","d007"
442133,"Angel","Bernd","d007"
275200,"Angel","Lucian","d007"
34722,"Angel","Tze","d007"
23694,"Angel","Ugo","d007"
253621,"Angel","Gino","d007"
91472,"Angel","Jordanka","d007"
431403,"Angel","Aemilian","d007"
464671,"Angel","Aimee","d007"
455869,"Angel","Dipayan","d007"
493167,"Angel","Greger","d007"
470167,"Angel","Aloke","d007"
247076,"Angel","Bernice","d007"
465401,"Angel","Edwin","d007"
244687,"Angel","Vitaly","d007"
28685,"Angel","Valery","d007"
88807,"Angel","Kristine","d007"
225307,"Angel","Shiv","d007"
104155,"Angel","Toshimori","d007"
238255,"Angel","Hinrich","d007"
213565,"Angel","Przemyslawa","d007"
440725,"Angel","Fayez","d007"
43291,"Angel","Pragnesh","d007"
430052,"Angel","Tsutomu","d007"
291549,"Angel","Kazuhito","d007"
280076,"Angel","Nagui","d007"
239028,"Angel","Surveyors","d007"
